Type,BuildTime,QueryTime,TotalTime,Fraction,Parameters
Brute-Force-Jaccard,0.000000,238.602160,238.602160,1.000000,-
LSH-Jaccard,116.738961,100.209624,216.948585,0.077927,"Perm=16, tau=0.6"
LSH-Jaccard,138.673379,344.081634,482.755012,0.483860,"Perm=16, tau=0.3"
LSH-Jaccard,99.450932,43.784667,143.235599,0.022304,"Perm=32, tau=0.9"
LSH-Jaccard,100.629054,49.334320,149.963374,0.064275,"Perm=32, tau=0.6"
LSH-Jaccard,100.243077,414.957291,515.200369,0.581927,"Perm=32, tau=0.3"
LSH-Jaccard,120.123046,51.556572,171.679618,0.021192,"Perm=64, tau=0.9"
LSH-Jaccard,118.532755,55.411283,173.944038,0.060447,"Perm=64, tau=0.6"
LSH-Jaccard,120.763454,120.431303,241.194758,0.382018,"Perm=64, tau=0.3"
