Type,Parameters,BuildTime_mean,QueryTime_mean,TotalTime_mean,fraction_trueK_mean,Accuracy_mean,Accuracy_std
Brute-Force-Jaccard,K=7,0.0,677.1758181807978,677.1758181807978,1.0,0.9371066354972127,0.00224667297908976
LSH-Jaccard,"K=7, tau=0.8, num_perm=16, empty_rate=89.87%, avg_cands=2.7",0.7498512820020551,1.2621235769984196,2.0119748590004747,0.025406530171860148,0.4632260384822874,
LSH-Jaccard,"K=7, tau=0.8, num_perm=16, empty_rate=89.95%, avg_cands=2.7",0.7471316149967606,1.286572654003976,2.0337042690007365,0.02579828910524828,0.4624617874483007,
LSH-Jaccard,"K=7, tau=0.8, num_perm=16, empty_rate=90.06%, avg_cands=2.7",0.7513478890032275,1.2705873629965936,2.021935251999821,0.024359698923626272,0.4623269196187736,
LSH-Jaccard,"K=7, tau=0.8, num_perm=16, empty_rate=90.11%, avg_cands=2.9",0.7513130029983586,1.2622006419987883,2.013513644997147,0.025046882626454638,0.45967451897140804,
LSH-Jaccard,"K=7, tau=0.8, num_perm=16, empty_rate=90.12%, avg_cands=2.8",1.0031585289980285,1.2690962990018306,2.272254827999859,0.02452667814113597,0.46030390217586764,
LSH-Jaccard,"K=7, tau=0.8, num_perm=32, empty_rate=90.12%, avg_cands=2.8",0.9842729779993533,1.3002316429992788,2.284504620998632,0.02608729159709199,0.46178744830066537,
LSH-Jaccard,"K=7, tau=0.8, num_perm=32, empty_rate=90.14%, avg_cands=2.8",0.9144283659989014,1.3085146340017673,2.2229430000006687,0.0255863539445629,0.4626416112210034,
LSH-Jaccard,"K=7, tau=0.8, num_perm=32, empty_rate=90.44%, avg_cands=2.9",0.9872705820016563,1.30390041499777,2.2911709969994263,0.02455236725152208,0.46061859377809744,
LSH-Jaccard,"K=7, tau=0.8, num_perm=32, empty_rate=90.46%, avg_cands=2.9",0.9928839839994907,1.2973789859970566,2.2902629699965473,0.024404654866801958,0.45958460708505666,
LSH-Jaccard,"K=7, tau=0.8, num_perm=32, empty_rate=90.46%, avg_cands=3.1",0.9810598109979765,1.2685035309987143,2.2495633419966907,0.02520101728877129,0.4597644308577594,
LSH-Jaccard,"K=7, tau=0.8, num_perm=64, empty_rate=89.72%, avg_cands=2.8",1.2901364709978225,1.3566209950004122,2.6467574659982347,0.027114856012536284,0.46426002517532816,
LSH-Jaccard,"K=7, tau=0.8, num_perm=64, empty_rate=89.78%, avg_cands=2.8",1.4723743719951017,1.3731460179988062,2.845520389993908,0.026870809463868266,0.46470958460708506,
LSH-Jaccard,"K=7, tau=0.8, num_perm=64, empty_rate=89.98%, avg_cands=3.0",1.5314793899960932,1.3768812959970091,2.9083606859931024,0.02651758419605929,0.4627764790505305,
LSH-Jaccard,"K=7, tau=0.8, num_perm=64, empty_rate=90.08%, avg_cands=2.9",1.28944238400436,1.3595013670055778,2.648943751009938,0.0257790222724587,0.4632260384822874,
LSH-Jaccard,"K=7, tau=0.8, num_perm=64, empty_rate=90.20%, avg_cands=2.9",1.5305224539988558,1.3615197750041261,2.892042229002982,0.02552855344619416,0.4616525804711383,
LSH-Jaccard,"K=7, tau=0.85, num_perm=16, empty_rate=89.87%, avg_cands=2.7",0.6314492260062252,1.2804051300045103,1.9118543560107355,0.025406530171860148,0.4632260384822874,
LSH-Jaccard,"K=7, tau=0.85, num_perm=16, empty_rate=89.95%, avg_cands=2.7",0.8866678550039069,1.2668315100017935,2.1534993650057004,0.02579828910524828,0.4624617874483007,
LSH-Jaccard,"K=7, tau=0.85, num_perm=16, empty_rate=90.06%, avg_cands=2.7",0.8805943139959709,1.2794108630041592,2.16000517700013,0.024359698923626272,0.4623269196187736,
LSH-Jaccard,"K=7, tau=0.85, num_perm=16, empty_rate=90.11%, avg_cands=2.9",0.8823259249984403,1.25111972400191,2.1334456490003504,0.025046882626454638,0.45967451897140804,
LSH-Jaccard,"K=7, tau=0.85, num_perm=16, empty_rate=90.12%, avg_cands=2.8",0.44265590999566484,1.2276213090008241,1.670277218996489,0.02452667814113597,0.46030390217586764,
LSH-Jaccard,"K=7, tau=0.85, num_perm=32, empty_rate=90.12%, avg_cands=2.8",0.8782841939973878,1.5515113340006792,2.429795527998067,0.02608729159709199,0.46178744830066537,
LSH-Jaccard,"K=7, tau=0.85, num_perm=32, empty_rate=90.14%, avg_cands=2.8",0.9010243290031212,1.3113881879980909,2.212412517001212,0.0255863539445629,0.4626416112210034,
LSH-Jaccard,"K=7, tau=0.85, num_perm=32, empty_rate=90.44%, avg_cands=2.9",1.1499941590009257,1.261571560993616,2.4115657199945417,0.02455236725152208,0.46061859377809744,
LSH-Jaccard,"K=7, tau=0.85, num_perm=32, empty_rate=90.46%, avg_cands=2.9",1.1338456049998058,1.2831373500011978,2.4169829550010036,0.024404654866801958,0.45958460708505666,
LSH-Jaccard,"K=7, tau=0.85, num_perm=32, empty_rate=90.46%, avg_cands=3.1",1.127361941995332,1.2882084119992214,2.4155703539945534,0.02520101728877129,0.4597644308577594,
LSH-Jaccard,"K=7, tau=0.85, num_perm=64, empty_rate=91.38%, avg_cands=2.8",1.130154874001164,1.2797727680008393,2.4099276420020033,0.021418295784416983,0.4553137924833663,
LSH-Jaccard,"K=7, tau=0.85, num_perm=64, empty_rate=91.46%, avg_cands=2.8",1.371869123999204,1.2509430360005354,2.6228121599997394,0.02150178539317183,0.4532458190972847,
LSH-Jaccard,"K=7, tau=0.85, num_perm=64, empty_rate=91.72%, avg_cands=3.0",1.325705472001573,1.2644760469993344,2.5901815190009074,0.020808179412746933,0.4512677575975544,
