Fold,Type,BuildTime,QueryTime,TotalTime,fraction_trueK_found,Accuracy,Parameters
4,LSH-Jaccard,0.9604428870006814,3.191662786004599,4.1521056730052806,0.0405952166876461,0.5412245998921057,"K=7, tau=0.7, num_perm=16, empty_rate=53.66%, avg_cands=5.1"
4,LSH-Jaccard,1.9744270730006974,124.09603650099598,126.07046357399668,0.5655586097053459,0.9181801834202482,"K=7, tau=0.3, num_perm=32, empty_rate=0.02%, avg_cands=5634.5"
4,LSH-Jaccard,1.842615396999463,15.074979969002015,16.91759536600148,0.22604490456495485,0.8634238446322604,"K=7, tau=0.4, num_perm=32, empty_rate=0.60%, avg_cands=401.8"
4,LSH-Jaccard,1.9333976639973116,6.333863517000282,8.267261180997593,0.09448454800010274,0.736603128933645,"K=7, tau=0.5, num_perm=32, empty_rate=8.19%, avg_cands=34.7"
4,LSH-Jaccard,1.738025528997241,3.83915447799518,5.577180006992421,0.05243789657564158,0.5876640891925913,"K=7, tau=0.6, num_perm=32, empty_rate=42.28%, avg_cands=5.9"
4,LSH-Jaccard,1.5714974369984702,2.1688951720061596,3.7403926090046298,0.03938782849949906,0.5135766948390578,"K=7, tau=0.7, num_perm=32, empty_rate=73.76%, avg_cands=2.9"
4,LSH-Jaccard,3.692283475997101,27.724829422004404,31.417112898001506,0.3585172245485139,0.8987592159683511,"K=7, tau=0.3, num_perm=64, empty_rate=0.20%, avg_cands=959.7"
4,LSH-Jaccard,3.824949089997972,9.546230563995778,13.37117965399375,0.14419297659722044,0.8054756338787987,"K=7, tau=0.4, num_perm=64, empty_rate=2.98%, avg_cands=149.2"
4,LSH-Jaccard,3.1028321769990725,7.471758179002791,10.574590356001863,0.12709045135766947,0.7902805250854162,"K=7, tau=0.5, num_perm=64, empty_rate=3.80%, avg_cands=59.6"
4,LSH-Jaccard,2.700508321002417,3.186957372003235,5.887465693005652,0.04844966218819843,0.5499910088113649,"K=7, tau=0.6, num_perm=64, empty_rate=57.25%, avg_cands=4.0"
4,LSH-Jaccard,2.4509119220019784,1.631939484999748,4.082851407001726,0.034673876743648364,0.4789606185937781,"K=7, tau=0.7, num_perm=64, empty_rate=86.42%, avg_cands=2.8"
5,Brute-Force-Jaccard,0.0,675.3369260079999,675.3369260079999,1.0,0.9389947851105916,K=7
5,LSH-Jaccard,1.1202203729990288,103.60262830000283,104.72284867300186,0.46551236930665085,0.9139543247617335,"K=7, tau=0.3, num_perm=16, empty_rate=0.04%, avg_cands=4658.6"
5,LSH-Jaccard,1.6779695309960516,95.13552811399859,96.81349764499464,0.40614483520435685,0.9068962416831505,"K=7, tau=0.4, num_perm=16, empty_rate=0.06%, avg_cands=4185.4"
5,LSH-Jaccard,1.15683824000007,11.374322035997466,12.531160275997536,0.1400698743802502,0.8222442006833304,"K=7, tau=0.5, num_perm=16, empty_rate=1.41%, avg_cands=239.7"
5,LSH-Jaccard,1.0977723820033134,5.621886120003182,6.719658502006496,0.0651540062167647,0.6710573637834921,"K=7, tau=0.6, num_perm=16, empty_rate=16.01%, avg_cands=23.6"
5,LSH-Jaccard,0.9722990660011419,3.184204281998973,4.156503348000115,0.040132812700696165,0.5425732781873763,"K=7, tau=0.7, num_perm=16, empty_rate=53.94%, avg_cands=5.1"
5,LSH-Jaccard,1.9773443469966878,124.36650488000305,126.34384922699974,0.5635805482056157,0.9216867469879518,"K=7, tau=0.3, num_perm=32, empty_rate=0.01%, avg_cands=5616.8"
5,LSH-Jaccard,1.8361327890015673,15.229958819996682,17.06609160899825,0.22109975081562924,0.8646826110411796,"K=7, tau=0.4, num_perm=32, empty_rate=0.44%, avg_cands=398.9"
5,LSH-Jaccard,1.9194436389952898,6.368157926001004,8.287601564996294,0.09215968351016002,0.736468261104118,"K=7, tau=0.5, num_perm=32, empty_rate=8.03%, avg_cands=34.2"
5,LSH-Jaccard,1.7253103269977146,3.8316317930002697,5.556942119997984,0.05135895393942507,0.5894623269196188,"K=7, tau=0.6, num_perm=32, empty_rate=42.27%, avg_cands=5.7"
5,LSH-Jaccard,1.6055782269977499,2.1682847240008414,3.7738629509985913,0.03897038045572482,0.5167236108613559,"K=7, tau=0.7, num_perm=32, empty_rate=73.69%, avg_cands=2.8"
5,LSH-Jaccard,3.6196612709973124,27.443499354005326,31.063160625002638,0.35624373827934336,0.8978600971048373,"K=7, tau=0.3, num_perm=64, empty_rate=0.13%, avg_cands=952.8"
5,LSH-Jaccard,3.9108167449958273,9.477919807002763,13.38873655199859,0.14432784442674748,0.8081280345261643,"K=7, tau=0.4, num_perm=64, empty_rate=2.94%, avg_cands=147.8"
5,LSH-Jaccard,3.1014979480023612,7.491181076999055,10.592679025001416,0.12570323939681968,0.788752023017443,"K=7, tau=0.5, num_perm=64, empty_rate=3.82%, avg_cands=58.9"
5,LSH-Jaccard,2.7189628509950126,3.159448024001904,5.878410874996916,0.04789734631489711,0.5492717137205538,"K=7, tau=0.6, num_perm=64, empty_rate=57.28%, avg_cands=3.9"
5,LSH-Jaccard,2.496495409999625,1.6219492800009903,4.118444690000615,0.03364631232820407,0.48098363603668404,"K=7, tau=0.7, num_perm=64, empty_rate=86.26%, avg_cands=2.6"
